no	brand	chinese_name	english_name	item	effect	image
8	ORIGINS_品木宣言	奇蹟面膜		清潔面膜,	深層清潔,修護,抗痘,舒緩,	https://pic.pimg.tw/styleme/1443058463-2786945417.jpg
11	kiehl's_契爾氏	亞馬遜白泥淨緻毛孔面膜	Rare Earth Deep Pore Cleansing Masque	清潔面膜,	深層清潔,收斂毛孔,控油,	https://pic.pimg.tw/styleme/1471838238-1550092175.jpg
14	shu_uemura_植村秀	植物精萃潔顏油 綠茶版	Anti/Oxi Skin Refining Anti-Dullness Cleansing Oil	卸妝產品,	卸妝,清潔,	https://pic.pimg.tw/styleme/1471851039-2053005800.png
17	SHISEIDO_資生堂		Benefique Hot Cleansing	卸妝產品,	卸妝,清潔,	https://pic.pimg.tw/styleme/1443057443-2515689085.jpg
20	KOSE_高絲	雪肌精淨白黑面膜	Clear Whitening Mask	清潔面膜,	深層清潔,改善粉刺,美白,	https://pic.pimg.tw/styleme/1443058450-3672473835.jpg
29	ORIGINS_品木宣言	一舉兩得潔面慕絲		洗顏產品,	清潔,	https://pic.pimg.tw/styleme/1443057397-3310399465.jpg
32	SK-II	青春敷面膜	Facial Treatment Mask	保養面膜,	保濕,抗老,透亮,	https://pic.pimg.tw/styleme/1471838298-2491264701.jpg
35	SHISEIDO_資生堂	百優瞬效新生彈力眼霜	Bio-Performance Super Corrective Eye Cream	眼部保養,	保濕,抗老,緊實,改善細紋,	https://pic.pimg.tw/styleme/1443058385-4182258750.jpg
38		超進化肌因亮眼精粹	Advanced Genifique Eye Light Pearl	眼部保養,	保濕,緊實,修護,	https://pic.pimg.tw/styleme/1471838060-3057373901.jpg
41	IPSA_茵芙莎	泥狀角質按摩霜EX	Luminizing Clay	臉部去角質,	去角質,深層清潔,收斂毛孔,	https://pic.pimg.tw/styleme/1471836457-1931389110.jpg
46	LANEIGE_蘭芝	睡美人香氛水凝膜-淨亮保濕升級版	Water Sleeping Mask	保養面膜,	保濕,舒緩,	https://pic.pimg.tw/styleme/1471838348-2995747101.jpg
49		特潤超導眼部修護精萃	Advanced Night Repair Eye Serum	眼部保養,	保濕,抗老,修護,	https://pic.pimg.tw/styleme/1471837969-2049535762.jpg
52	kiehl's_契爾氏	酪梨眼霜	Creamy Eye Treatment with Avocado	眼部保養,	保濕,滋潤,	https://pic.pimg.tw/styleme/1443058375-3554959276.jpg
55	sisley_希思黎	抗皺活膚眼唇霜	Eye & Lip Contour Cream	眼部保養,	保濕,滋潤,抗老,抗皺,修護,	https://pic.pimg.tw/styleme/1471838129-3545220448.jpg
58		Nrf2超智慧乳霜	Revitalizing Supreme Global Anti-Aging Creme	乳霜,	保濕,抗老,緊實,改善細紋,透亮,	https://pic.pimg.tw/styleme/1471859138-2982583632.jpg
61	SHISEIDO_資生堂	百優精純乳霜	Bio-Performance Advanced Super Revitalizer Cream	乳霜,	保濕,滋潤,抗老,	https://pic.pimg.tw/styleme/1471837782-350285976.jpg
64	SK-II	肌源新生賦活精萃	Stempower Essence	精華液,	保濕,抗老,緊實,	https://pic.pimg.tw/styleme/1443058243-3238764805.jpg
67	Clarins_克蘭詩	黃金雙激萃	Double Serum	精華液,	保濕,滋潤,抗老,修護,	https://pic.pimg.tw/styleme/1471859017-2554419716.jpg
70	GUERLAIN_嬌蘭	皇家蜂王乳提顏凝露	Abeille Rayole Preparing Toner	化妝水,	保濕,抗老,緊實,拉提,	https://pic.pimg.tw/styleme/1471837872-2029327439.jpg
73		激光煥白淨斑精華	Blanc Expert Spot Eraser Melanolyser	精華液,	美白,透亮,均勻膚色,淡斑,提升光澤,	https://pic.pimg.tw/styleme/1471837699-3051744596.jpg
76		極淨光透白修護精華	Crescent White Full Cycle Brightening Spot Correcting Essince	精華液,	美白,透亮,均勻膚色,提升光澤,	https://pic.pimg.tw/styleme/1443058149-744162273.jpg
79	kiehl's_契爾氏	激光極淨白淡斑精華	Clearly Corrective Dark Spot Solution	精華液,	保濕,美白,透亮,均勻膚色,淡斑,提升光澤,	https://pic.pimg.tw/styleme/1443058176-1212871370.jpg
82	SHISEIDO_資生堂	驅黑淨白露CR	Melanoreduce CR Whitening Serum	精華液,	保濕,美白,透亮,均勻膚色,淡斑,提升光澤,	https://pic.pimg.tw/styleme/1471837545-2698602807.jpg
85	SK-II	超進化光感煥白精華液	Cellumination Aura Essence	精華液,	美白,透亮,均勻膚色,淡斑,提升光澤,	https://pic.pimg.tw/styleme/1471837614-1671046962.jpg
88	YSL_聖羅蘭	超模聚焦光感粉底液 無瑕版 SPF30/PA+++	Touche Ecla Le Teint	粉底液,	光澤,均勻膚色,防曬,遮瑕,好推勻,	https://pic.pimg.tw/styleme/1471834629-1676414726.jpg
91		粉持久完美持妝粉底SPF10/PA++	Double Wear Stay in Place Makeup	粉底液,	均勻膚色,長效持妝,防曬,遮瑕,	https://pic.pimg.tw/styleme/1471835040-560829616.jpg
94		激光煥白氣墊粉餅 SPF23/PA++	Blanc Expert Cushion Compact	氣墊粉餅,	光澤,透亮,均勻膚色,防曬,薄透,好推勻,	https://pic.pimg.tw/styleme/1471833710-3649070710.png
97	BOBBI_BROWN_芭比布朗	高保濕修護精華粉底 SPF40/PA+++	Intensive Skin Serum Foundation SPF40 PA +++	粉底液,	保濕,光澤,防曬,遮瑕,好推勻,	https://pic.pimg.tw/styleme/1443058617-3826877401.jpg
100	Sulwhasoo_雪花秀	完美絲絨氣墊粉霜	Perfecting Cushion	氣墊粉餅,	保濕,光澤,均勻膚色,	https://pic.pimg.tw/styleme/1471834799-4054318329.jpg
103	cle_de_peau_beaute_肌膚之鑰	星鑽漾采眼影	Eye Color Quad	眼影,	珠光,顯色,	https://pic.pimg.tw/styleme/1471833970-3752241194.jpg
109	M.A.C	絲絨珠光眼影盤	Veluxe Pearlfusion Shadow	眼影,	珠光,顯色,	https://pic.pimg.tw/styleme/1443058948-3555607084.jpg
112	Clarisonic_科萊麗	音波淨膚儀ARIA	ARIA Facial Cleansing Brush	保養工具,		https://pic.pimg.tw/styleme/1471836543-1297898600.jpg
115	kanebo_佳麗寶	晶巧光燦眼盒	Lunasol Skin Modeling Eyes	眼影,	珠光,顯色,好上色,	https://pic.pimg.tw/styleme/1471835500-1030980106.jpg
118	YSL_聖羅蘭	拼接時尚五色眼彩盤	Couture Palette	眼影,	珠光,顯色,好上色,	https://pic.pimg.tw/styleme/1483539921-2460409842.png
121	Dior_迪奧	經典五色眼影	5 Couleurs Coutre Couture Colours & Effects Eyeshdow Palete	眼影,	珠光,顯色,好上色,	https://pic.pimg.tw/styleme/1486127480-3782390995.jpg
124	SHISEIDO_資生堂	心機星魅舞色頰彩	Maquillage Dramatic Mood Veil	腮紅修容,	服貼,珠光,好上色,	https://pic.pimg.tw/styleme/1471834229-1370527841.jpg
127	GIORGIO_ARMANI_亞曼尼	奢華漂染腮紅盒	Cheek Fabric	腮紅修容,	服貼,顯色,好上色,	https://pic.pimg.tw/styleme/1471835966-2529709739.jpg
130	NARS	炫色腮紅	Orgasm Blush	腮紅修容,	服貼,顯色,好上色,	https://pic.pimg.tw/styleme/1487144017-3235540865.png
